Id,SalePrice
1461,117105.43596708807
1462,154678.28387509973
1463,181264.24562760515
1464,205072.3296774914
1465,183639.64744847972
1466,170341.1372686283
1467,194413.10460261392
1468,167860.8617138662
1469,204852.996895635
1470,113626.2017087295
1471,198906.12378063815
1472,100006.41767249505
1473,93188.40633234438
1474,154759.5709623322
1475,113335.29047943772
1476,335525.8607069988
1477,237299.17151763724
1478,291037.17370681686
1479,272930.5812154161
1480,413059.2092216001
1481,324126.41807338636
1482,212423.2708785748
1483,178069.06602643192
1484,162098.22646118078
1485,207942.41937417063
1486,198573.0859273098
1487,291176.26856321294
1488,244182.0970543407
1489,179881.9908112763
1490,207575.10708872453
1491,192749.23599401588
1492,93785.03520479685
1493,209438.60264224856
1494,287971.82007080375
1495,291808.9883310763
1496,209545.35133788103
1497,165759.80928610935
1498,153241.21920951895
1499,157133.63607545808
1500,143709.36099815174
1501,157083.29560178242
1502,144144.04088999613
1503,274417.0658751758
1504,244482.41731566016
1505,221132.21595924182
1506,189656.08866121242
1507,235272.40962196313
1508,208668.55830705215
1509,167141.96927596198
1510,139264.19461038176
1511,136593.25618829794
1512,160194.1438637918
1513,153288.83693757575
1514,158585.64682389048
1515,215905.58904344134
1516,165980.57100551808
1517,172934.7966568851
1518,133120.01945573976
1519,213946.96727800413
1520,119230.3320261538
1521,120231.8630278312
1522,175760.6100865684
1523,97510.91474557853
1524,121565.1293194852
1525,114604.41938800098
1526,113616.5356179102
1527,101789.96402208
1528,155023.56714461782
1529,134614.99477102503
1530,194091.7488007332
1531,107382.23477427883
1532,101955.87134142879
1533,142444.11809240884
1534,126534.32837937678
1535,154801.61721689184
1536,113503.19664125536
1537,66630.96658050573
1538,170689.9688915488
1539,204029.76169052048
1540,99715.40890292078
1541,151360.252545031
1542,136423.41174428124
1543,183410.9229677724
1544,89392.72387997567
1545,119249.20320569634
1546,141518.386493858
1547,130033.52245682507
1548,134775.30934260285
1549,114455.01225520467
1550,124962.4277895167
1551,117240.12729840928
1552,110868.39568546611
1553,132761.18090491975
1554,110701.39714324423
1555,158010.77325404657
1556,87771.39794494175
1557,102366.6964673548
1558,101067.96508514626
1559,74828.49543592564
1560,136557.29312984386
1561,123229.48387986323
1562,127324.00861196045
1563,114064.56597122274
1564,152892.56833154362
1565,142569.6021527327
1566,255501.3470819242
1567,79715.28797877824
1568,214001.37563419022
1569,114651.20401837371
1570,149997.4219771867
1571,118299.38398128348
1572,140706.32625695257
1573,239916.1879487611
1574,118318.24318860083
1575,212879.3362815966
1576,254003.71565840833
1577,185588.50760776745
1578,142141.16230333032
1579,139995.30969164395
1580,207888.1463948005
1581,160493.51104781564
1582,126451.9784127134
1583,309027.1393339843
1584,215817.71739547365
1585,140005.86008218428
1586,72533.18737108182
1587,105673.23559633065
1588,137801.27044474793
1589,101494.55075374844
1590,142779.6970099223
1591,84888.42334237235
1592,123488.358418816
1593,126651.1243811038
1594,108849.56838562983
1595,94259.16886115441
1596,198196.72265049772
1597,171097.9320752068
1598,220048.65446207093
1599,185152.15097974258
